日,TensorFlow: (日本),PyTorch: (日本),Keras: (日本),Caffe: (日本),Deeplearning4j: (日本)
2016/7/4,0,0,28,0,16
2016/7/5,0,0,0,21,0
2016/7/6,21,23,0,0,0
2016/7/7,0,0,22,0,0
2016/7/8,32,0,0,0,17
2016/7/9,0,25,0,0,0
2016/7/10,0,0,0,0,0
2016/7/11,0,0,0,0,0
2016/7/12,0,0,0,0,0
2016/7/13,0,0,0,0,0
2016/7/14,21,0,0,0,0
2016/7/15,28,0,0,0,0
2016/7/16,0,0,0,0,0
2016/7/17,0,0,24,0,0
2016/7/18,0,0,0,0,0
2016/7/19,36,0,0,0,0
2016/7/20,0,0,0,0,0
2016/7/21,0,0,0,0,0
2016/7/22,30,0,27,0,0
2016/7/23,0,0,0,0,0
2016/7/24,0,0,0,0,0
2016/7/25,0,16,0,0,18
2016/7/26,0,0,33,0,0
2016/7/27,0,0,0,38,0
2016/7/28,0,56,0,24,0
2016/7/29,0,0,0,0,0
2016/7/30,0,37,0,0,19
2016/7/31,23,0,41,0,0
2016/8/1,0,0,0,0,0
2016/8/2,0,0,0,0,0
2016/8/3,0,0,100,0,0
2016/8/4,42,0,0,0,39
2016/8/5,76,25,0,0,0
2016/8/6,36,0,0,0,0
2016/8/7,73,0,0,0,0
2016/8/8,0,0,0,0,0
2016/8/9,0,0,0,22,0
2016/8/10,0,0,29,0,25
2016/8/11,36,0,0,0,0
2016/8/12,0,0,0,59,0
2016/8/13,0,0,0,41,0
2016/8/14,0,0,0,0,0
2016/8/15,26,0,0,0,25
2016/8/16,0,0,0,0,0
2016/8/17,0,0,34,0,0
2016/8/18,43,66,64,29,0
2016/8/19,61,0,0,0,0
2016/8/20,37,0,0,0,31
2016/8/21,24,0,0,0,0
2016/8/22,0,0,0,0,0
2016/8/23,0,0,0,0,31
2016/8/24,0,0,19,0,0
2016/8/25,0,0,25,0,0
2016/8/26,0,0,0,28,0
2016/8/27,0,20,0,0,29
2016/8/28,0,0,0,0,0
2016/8/29,28,0,0,0,0
2016/8/30,0,0,0,25,0
2016/8/31,0,37,40,0,35
2016/9/1,0,0,0,0,0
2016/9/2,0,0,0,0,0
2016/9/3,0,0,0,0,0
2016/9/4,0,54,0,0,0
2016/9/5,0,0,0,0,0
2016/9/6,0,0,0,0,0
2016/9/7,17,33,0,0,0
2016/9/8,0,0,19,0,0
2016/9/9,36,0,22,0,0
2016/9/10,0,0,0,0,0
2016/9/11,0,0,40,0,41
2016/9/12,0,0,0,0,0
2016/9/13,0,0,0,0,0
2016/9/14,0,0,34,0,0
2016/9/15,37,0,0,0,27
2016/9/16,0,0,0,0,42
2016/9/17,0,0,0,0,0
2016/9/18,0,27,29,0,50
2016/9/19,0,0,0,0,0
2016/9/20,0,0,0,0,0
2016/9/21,0,0,0,39,0
2016/9/22,0,0,0,0,0
2016/9/23,0,0,0,0,0
2016/9/24,0,0,0,0,0
2016/9/25,19,0,0,0,0
2016/9/26,0,0,0,0,0
2016/9/27,0,0,0,33,0
2016/9/28,29,0,48,0,0
2016/9/29,0,40,0,0,0
2016/9/30,0,0,0,0,0
2016/10/1,20,0,25,45,32
2016/10/2,0,0,0,0,0
2016/10/3,0,0,35,30,0
2016/10/4,0,0,0,0,39
2016/10/5,16,27,26,0,0
2016/10/6,67,0,0,0,0
2016/10/7,20,0,0,0,0
2016/10/8,40,0,0,0,37
2016/10/9,0,18,0,0,0
2016/10/10,23,0,0,0,0
2016/10/11,0,18,0,22,0
2016/10/12,0,0,0,0,0
2016/10/13,0,24,35,0,27
2016/10/14,0,0,0,0,0
2016/10/15,0,22,0,0,0
2016/10/16,25,0,0,17,20
2016/10/17,0,0,0,0,34
2016/10/18,0,0,0,0,0
2016/10/19,0,46,19,0,0
2016/10/20,0,0,0,30,0
2016/10/21,0,0,0,29,0
2016/10/22,0,0,0,0,0
2016/10/23,24,0,0,31,0
2016/10/24,29,0,0,0,0
2016/10/25,0,0,0,0,0
2016/10/26,27,0,0,0,0
2016/10/27,19,24,0,0,0
2016/10/28,0,76,0,0,0
2016/10/29,0,0,0,0,0
2016/10/30,27,0,0,0,49
2016/10/31,0,0,99,38,0
2016/11/1,43,0,0,21,27
2016/11/2,0,0,0,0,0
2016/11/3,22,0,0,0,36
2016/11/4,0,0,0,0,0
2016/11/5,0,24,0,0,75
2016/11/6,0,0,0,0,0
2016/11/7,0,0,0,0,0
2016/11/8,0,0,35,0,30
2016/11/9,0,0,0,0,0
2016/11/10,0,0,0,0,0
2016/11/11,0,18,36,24,0
2016/11/12,0,0,21,19,0
2016/11/13,0,20,0,0,0
2016/11/14,25,0,0,0,34
2016/11/15,0,0,30,0,0
2016/11/16,0,39,0,0,0
2016/11/17,0,39,0,0,0
2016/11/18,23,0,19,0,22
2016/11/19,0,0,0,0,0
2016/11/20,0,0,0,0,75
2016/11/21,0,0,21,0,0
2016/11/22,25,0,17,0,89
2016/11/23,0,0,0,0,0
2016/11/24,0,0,41,0,0
2016/11/25,0,17,0,22,0
2016/11/26,0,0,0,22,0
